nama_produk,harga,rating,terjual,link,scraped_at,sumber
Hadiah Gratis,,,,https://shopee.co.id/Olay-White-Radiance-Niacinamide-Vitamin-C-Super-Serum-Brightening-Skincare-30ML-i.610201703.14448572572?extraParams=%7B%22display_model_id%22%3A124057899079%2C%22model_selection_logic%22%3A3%7D&sp_atk=b34797d3-f49b-44e3-afa5-c6e102d5b373&xptdk=b34797d3-f49b-44e3-afa5-c6e102d5b373,2026-06-14T16:56:13.178893,shopee
Pilih Lokal,,,,https://shopee.co.id/Harlette-Chill-Oat-Calming-Serum-Red-Troubled-Skin-Oat-Turmeric-Extract-Niacinamide-Ceramide-i.70026203.13995169588?extraParams=%7B%22display_model_id%22%3A88040918484%2C%22model_selection_logic%22%3A3%7D&sp_atk=ec398f45-9f76-4f9e-8742-e259400a6ef0&xptdk=ec398f45-9f76-4f9e-8742-e259400a6ef0,2026-06-14T16:56:13.442448,shopee
"Pilih 2, diskon 2%",,,,https://shopee.co.id/Beauty-of-Joseon-Honey-Glow-Brightening-Serum-2-Niacinamide-5-Honey-Extract-i.931785217.25245243179?extraParams=%7B%22display_model_id%22%3A234244705520%2C%22model_selection_logic%22%3A3%7D&sp_atk=18fc390e-9c25-4ebc-8ad8-3c827b3b859e&xptdk=18fc390e-9c25-4ebc-8ad8-3c827b3b859e,2026-06-14T16:56:13.701810,shopee
Produk Baru,,,,https://shopee.co.id/HYONIC-Glow-Moisturizer-%E2%80%93-Transform-Your-Skin-Moisturizer-Ringan-untuk-Kulit-Cerah-Sehat-i.1547501943.24197849215?extraParams=%7B%22display_model_id%22%3A425380637090%2C%22model_selection_logic%22%3A3%7D&sp_atk=37d900f7-9d68-4c52-b68a-03a19f1b1b79&xptdk=37d900f7-9d68-4c52-b68a-03a19f1b1b79,2026-06-14T16:57:43.309713,shopee
Cicilan,,,,https://shopee.co.id/Cetaphil-Moisturizing-Cream-453g-dengan-Sunflower-Oil-Vitamin-E-dan-Almond-Oil-Pelembap-Wajah-Kulit-untuk-Kulit-Sangat-Kering-dan-Sensitif-i.11277516.396631079?extraParams=%7B%22display_model_id%22%3A52815799396%2C%22model_selection_logic%22%3A3%7D&sp_atk=85278b75-91dd-4137-8630-e4555782a451&xptdk=85278b75-91dd-4137-8630-e4555782a451,2026-06-14T16:57:49.445398,shopee
"Pilih 2, diskon Rp3.000",,,,https://shopee.co.id/WARDAH-Gel-Moisturizer-Series-30-g-day-cream-glow-moisturizer-Collagen-Moist-pelembab-Tranexamic-Alpha-Arbutin-Symradiance-Vit-C-Tranexamic-Cica-Complex-Panthenol-14x-Hyaluron-i.1398366611.58112033718?extraParams=%7B%22display_model_id%22%3A416046219299%2C%22model_selection_logic%22%3A2%7D&sp_atk=d17f3ded-c012-43f9-9749-02262246d1a8&xptdk=d17f3ded-c012-43f9-9749-02262246d1a8,2026-06-14T16:57:49.703967,shopee
